Date,Date,ENGIE,EDF,RWE,EON,INNOGY,UNIPER,Percent_ENGIE,Percent_EDF,Percent_RWE,Percent_EON,Percent_INNOGY,Percent_UNIPER
2018-04-09,2018-04-09,14.0,11.42,20.3,9.075,38.2,23.85,1.0405053883314752,1.0288288288288288,1.010452961672474,1.008109309042435,0.9891248058001038,1.0063291139240507
2018-04-10,2018-04-10,13.95,11.33,20.25,8.991,38.29,23.58,1.0367892976588629,1.0207207207207207,1.0079641612742658,0.9987780493223727,0.9914552045572242,0.9949367088607595
2018-04-11,2018-04-11,13.815,11.195,20.1,8.874,38.05,23.55,1.0267558528428093,1.0085585585585586,1.0004977600796416,0.985780937569429,0.9852408078715691,0.9936708860759494
2018-04-12,2018-04-12,13.985,11.39,20.25,8.866,37.97,23.61,1.0393905611296914,1.0261261261261263,1.0079641612742658,0.9848922461675182,0.9831693423096841,0.9962025316455696
2018-04-13,2018-04-13,13.97,11.5,20.78,8.97,38.0,23.64,1.0382757339279078,1.0360360360360361,1.0343454454952714,0.9964452343923572,0.9839461418953911,0.9974683544303798
2018-04-16,2018-04-16,13.97,11.6,20.95,9.0,37.99,23.64,1.0382757339279078,1.045045045045045,1.0428073668491786,0.9997778271495222,0.9836872087001555,0.9974683544303798
2018-04-17,2018-04-17,13.915,11.655,20.89,9.0,37.91,23.6,1.034188034188034,1.05,1.039820806371329,0.9997778271495222,0.9816157431382703,0.9957805907172996
2018-04-18,2018-04-18,13.97,11.79,21.16,9.014,37.99,23.74,1.0382757339279078,1.0621621621621622,1.0532603285216526,1.001333037102866,0.9836872087001555,1.00168776371308
2018-04-19,2018-04-19,13.985,11.89,21.69,9.1,37.92,23.86,1.0393905611296914,1.0711711711711713,1.079641612742658,1.010886469673406,0.9818746763335061,1.0067510548523206
2018-04-20,2018-04-20,14.105,11.7,22.12,9.07,38.0,23.92,1.0483091787439613,1.054054054054054,1.1010452961672474,1.0075538769162409,0.9839461418953911,1.0092827004219411
2018-04-23,2018-04-23,14.135,11.42,21.55,8.937999999999999,37.79,23.78,1.0505388331475287,1.0288288288288288,1.0726729716276755,0.9928904687847143,0.9785085447954428,1.0033755274261604
2018-04-24,2018-04-24,14.155,11.285,21.35,8.85,37.8,23.76,1.0520252694165737,1.0166666666666666,1.0627177700348434,0.9831148633636968,0.9787674779906784,1.0025316455696203
2018-04-25,2018-04-25,14.1,11.38,21.35,8.83,35.97,23.75,1.0479375696767002,1.0252252252252254,1.0627177700348434,0.9808931348589202,0.9313827032625583,1.0021097046413503
2018-04-26,2018-04-26,14.165,11.455,21.2,8.82,35.98,23.99,1.052768487551096,1.031981981981982,1.055251368840219,0.9797822706065319,0.9316416364577939,1.0122362869198311
2018-04-27,2018-04-27,14.345,11.47,19.87,8.94,36.36,24.82,1.066146413972501,1.0333333333333334,0.9890492782478846,0.9931126416351921,0.9414810978767478,1.0472573839662447
2018-04-30,2018-04-30,14.395,11.58,19.84,8.921,36.39,25.0,1.0698625046451133,1.0432432432432432,0.9875559980089597,0.9910019995556542,0.9422578974624548,1.0548523206751055
2018-05-02,2018-05-02,14.545,11.525,19.845,9.072000000000001,36.61,25.58,1.0810107766629506,1.0382882882882885,0.9878048780487805,1.0077760497667185,0.9479544277576386,1.079324894514768
2018-05-03,2018-05-03,14.55,11.675,19.985,9.211,36.98,26.6,1.0813823857302118,1.0518018018018018,0.994773519163763,1.0232170628749166,0.9575349559813567,1.1223628691983123
2018-05-04,2018-05-04,14.75,11.53,20.09,9.335,36.61,26.5,1.0962467484206615,1.0387387387387388,1.0,1.0369917796045323,0.9479544277576386,1.118143459915612
2018-05-07,2018-05-07,14.7,11.7,20.22,9.499,36.66,26.49,1.092530657748049,1.054054054054054,1.0064708810353409,1.0552099533437014,0.9492490937338166,1.1177215189873417
2018-05-08,2018-05-08,14.69,11.7,20.2,9.591000000000001,36.67,26.08,1.0917874396135265,1.054054054054054,1.0054753608760578,1.0654299044656743,0.9495080269290525,1.10042194092827
2018-05-09,2018-05-09,14.64,11.65,19.75,9.475,36.71,26.82,1.0880713489409142,1.0495495495495497,0.9830761572921852,1.0525438791379693,0.9505437597099949,1.1316455696202532
2018-05-10,2018-05-10,14.59,11.855,20.0,9.301,36.51,26.59,1.0843552582683018,1.068018018018018,0.9955201592832255,1.033214841146412,0.9453650958052823,1.1219409282700423
2018-05-11,2018-05-11,14.585,12.22,20.19,9.499,36.5,26.82,1.0839836492010406,1.100900900900901,1.0049776007964162,1.0552099533437014,0.9451061626100467,1.1316455696202532
2018-05-14,2018-05-14,14.63,12.315,20.05,9.379,36.4,27.12,1.0873281308063918,1.1094594594594593,0.9980089596814335,1.041879582315041,0.9425168306576903,1.1443037974683545
2018-05-15,2018-05-15,14.745,12.205,19.9,9.25,36.28,26.81,1.0958751393534,1.0995495495495495,0.9905425584868093,1.0275494334592312,0.9394096323148629,1.131223628691983
2018-05-16,2018-05-16,14.6,12.27,20.16,9.296,36.28,26.9,1.0850984764028242,1.1054054054054054,1.0034843205574913,1.0326594090202177,0.9394096323148629,1.1350210970464134
2018-05-17,2018-05-17,14.275,12.14,19.98,9.28,36.2,26.87,1.0609438870308436,1.0936936936936938,0.9945246391239423,1.0308820262163962,0.9373381667529779,1.1337552742616035
